Prod name,RefDes,Value
A93549-027,R5,100kOhm
A93549-027,R6,100kOhm
A93548-001,R2B29,33.2ohm
A93548-001,R3M13,33.2ohm
IPD031-201,U2A5,
A93549-001,R12,0ohm
H18589-001,U8,
H18587-001,J1,
A93548-128,R4B5,100kOhm
G63512-001,U9,
G63512-001,U1,
G63512-001,U3,
G63512-001,U4,
G63512-001,U5,
G63512-001,U6,
G63512-001,U7,
G63512-001,U10,
G63512-001,U2,
H18588-001,EU1,
A93548-045,R2L21,49.9ohm
H10285-001,U2B4,
C81974-001,Q4,
C81974-001,Q3,
C81974-001,Q2,
C81974-001,Q1,
C81974-001,Q1L1,
C81974-001,Q1L2,
G98327-001,R3L5,32.4ohm
E53905-001,L3M1,1nH
E53905-001,L3M2,1nH
D33700-002,J4A3,
IPD231-098,TP1,
IPD231-098,TP2,
G94441-001,U2A2,
G94441-001,U2A4,
G94441-001,U2L1,
G94441-001,U2M1,
G91801-001,Y3L1,
SPOKE_N156_CNR_PKG_2_7,MH1,
SPOKE_N156_CNR_PKG_2_7,MH2,
SPOKE_N156_CNR_PKG_2_7,MH3,
SPOKE_N156_CNR_PKG_2_7,MH4,
602433-057,C3A18,0.047uF
602433-057,C3A19,0.047uF
602433-057,C4A2,0.047uF
A93548-034,R1L11,10kOhm
A93548-034,R2B4,10kOhm
A93548-034,R2B12,10kOhm
A93548-034,R2B13,10kOhm
A93548-034,R2B16,10kOhm
A93548-034,R2B19,10kOhm
A93548-034,R2B22,10kOhm
A93548-034,R2L3,10kOhm
A93548-034,R3A10,10kOhm
A93548-034,R3A14,10kOhm
A93548-034,R3A17,10kOhm
A93548-034,R3A20,10kOhm
A93548-034,R3L1,10kOhm
A93548-034,R4B8,10kOhm
A93548-034,R4L9,10kOhm
A93548-034,R3M7,10kOhm
A93548-034,R2B17,10kOhm
A93548-034,R3M9,10kOhm
A36096-066,C2L14,4700pF
A93548-127,R2L20,158kOhm
E41735-001,R2L19,40.2kOhm
G63888-001,C4B5,10uF
G89151-001,F4B1,
A36096-108,C3L22,10uF
602433-081,C3B10,22uF
602433-081,C2B2,22uF
C83410-012,C3L28,1uF
C83410-012,C3L17,1uF
C83410-012,C3L15,1uF
C83410-012,C3L18,1uF
C83410-012,C3L20,1uF
C83410-012,C3L26,1uF
C83410-012,C3L24,1uF
C83410-012,C3L29,1uF
G79666-001,J2B1,
A91829-027,J1A4,
A91829-027,J3A1,
A91829-001,J2,
A91829-001,J1A6,
G79672-001,J1A5,
G79625-001,J2A1,
G79625-001,J1B1,
A91836-079,J1B2,
G84017-001,J4A1,
G83474-001,U2B1,
G76363-001,J3B1,
C96005-001,C3A8,0.1uF
C96005-001,C3A9,0.1uF
G84989-001,C1A4,0.15uF
G84989-001,C1A3,0.15uF
G84989-001,C1A11,0.15uF
G84989-001,C1A17,0.15uF
G84989-001,C1A18,0.15uF
G84989-001,C1A12,0.15uF
A36096-046,C3M8,1000pF
A36096-046,C3M7,1000pF
A36096-046,C3M6,1000pF
A36096-046,C3M5,1000pF
A36096-046,C3L25,1000pF
A36096-046,C3L27,1000pF
A36096-046,C3A12,1000pF
A36096-046,C3B8,1000pF
A36096-046,C3A13,1000pF
A36096-046,C3M1,1000pF
A36096-046,C3M2,1000pF
A36096-046,C3L30,1000pF
A36096-046,C3L1,1000pF
A36094-025,C3A16,10pF
A36094-025,C3B2,10pF
A36094-025,C3A17,10pF
A47402-001,C4M1,1pF
A36095-045,C2M8,220pF
A36095-045,C2M9,220pF
A36096-066,C3A11,4700pF
A36096-066,C3A14,4700pF
A36096-066,C3B6,4700pF
A36096-066,C3A15,4700pF
A36096-066,C2M6,4700pF
A36096-066,C2L3,4700pF
602433-075,C2B4,10uF
602433-075,C3M9,10uF
602433-026,C1A14,2.2uF
602433-026,C1A24,2.2uF
602433-026,C3L23,2.2uF
602433-026,C3M4,2.2uF
602433-026,C3L16,2.2uF
602433-026,C3L12,2.2uF
602433-038,C4M6,4.7uF
602433-038,C3L2,4.7uF
602431-005,C3B14,470pF
G10601-003,C1A2,10uF
G10601-003,C1A1,10uF
G10601-003,C3L4,10uF
G10601-003,C3L3,10uF
G10601-003,C3L7,10uF
E57936-001,C2L8,10uF
E57936-001,C2L9,10uF
E57936-001,C2L12,10uF
E57936-001,C3B4,10uF
E57936-001,C3B3,10uF
C97875-001,C1A19,22uF
C97875-001,C3A1,22uF
C97875-001,C2L4,22uF
C97875-001,C2L6,22uF
C97875-001,C2L11,22uF
C97875-001,C3B1,22uF
C97875-001,C3B9,22uF
C97875-001,C3B7,22uF
C97875-001,C3B11,22uF
644066-115,C4B2,47uF
644066-115,C3M11,47uF
644066-115,C4B1,47uF
644066-030,C2M7,100uF
D30400-001,U1L4,
D30400-001,U1L1,
D30400-001,U1L2,
D30400-001,U1L3,
